item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0923	N4	n4_vocab_image_42	923	捕まえる	つかまえる	bắt giữ	BỘ			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0924	N4	n4_vocab_image_42	924	つける	つける	dính vào, gắn vào, cài (áo)				Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0925	N4	n4_vocab_image_42	925	漬ける	つける	muối (rau, dưa); ngâm, tẩm ướp	TÍ			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0926	N4	n4_vocab_image_42	926	伝える	つたえる	truyền đạt, nói	TRUYỀN			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0927	N4	n4_vocab_image_42	927	努める	つとめる	cố gắng, nỗ lực	NỖ			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0928	N4	n4_vocab_image_42	928	連れる	つれる	dẫn dắt	LIÊN			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0929	N4	n4_vocab_image_42	929	出かける	でかける	ra ngoài, đi chơi	XUẤT			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0930	N4	n4_vocab_image_42	930	できる	できる	có thể (làm); hoàn thành				Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0931	N4	n4_vocab_image_42	931	閉じる	とじる	nhắm (mắt); đóng, gập vào	BẾ			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0932	N4	n4_vocab_image_42	932	届ける	とどける	đưa đến, chuyển đến	GIỚI			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0933	N4	n4_vocab_image_42	933	取り替える	とりかえる	đổi, trao đổi, thay	THỦ THẾ			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0934	N4	n4_vocab_image_42	934	投げる	なげる	ném	ĐẦU			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0935	N4	n4_vocab_image_42	935	慣れる	なれる	quen với ~	QUÁN			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0936	N4	n4_vocab_image_42	936	逃げる	にげる	chạy trốn	ĐÀO			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0937	N4	n4_vocab_image_42	937	似る	にる	giống, tương tự với	TỰ			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0938	N4	n4_vocab_image_42	938	濡れる	ぬれる	bị ướt, ướt sũng	NHU			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0939	N4	n4_vocab_image_42	939	乗り換える	のりかえる	đổi (xe, chuyến)	THỪA HOÁN			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0940	N4	n4_vocab_image_42	940	冷える	ひえる	lạnh đi	LÃNH			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0941	N4	n4_vocab_image_42	941	増える	ふえる	tăng lên	TĂNG			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0942	N4	n4_vocab_image_42	942	褒める	ほめる	khen ngợi	BAO			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0943	N4	n4_vocab_image_42	943	負ける	まける	thua, thất bại	PHỤ			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0944	N4	n4_vocab_image_42	944	間違える	まちがえる	nhầm lỗi	GIAN VI			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0945	N4	n4_vocab_image_42	945	見える	みえる	nhìn thấy	KIẾN			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0946	N4	n4_vocab_image_42	946	申し上げる	もうしあげる	nói, kể, phát biểu (khiêm nhường ngữ)	THÂN THƯỢNG			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0947	N4	n4_vocab_image_42	947	やせる	やせる	gầy đi, giảm cân				Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0948	N4	n4_vocab_image_42	948	揺れる	ゆれる	rung, lắc; dao động	DAO			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0949	N4	n4_vocab_image_42	949	汚れる	よごれる	bị bẩn, bị dơ	Ô			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0950	N4	n4_vocab_image_42	950	別れる	わかれる	ly biệt, chia tay	BIỆT			Động từ nhóm 2;source_image:42.jpg	manual_reviewed
N4-VOCAB-0951	N4	n4_vocab_image_42	951	挨拶（する）	あいさつ（する）	chào hỏi	ÁI SÁT			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0952	N4	n4_vocab_image_42	952	案内（する）	あんない（する）	hướng dẫn, chỉ dẫn	ÁN NỘI			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0953	N4	n4_vocab_image_42	953	運転（する）	うんてん（する）	lái xe	VẬN CHUYỂN			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0954	N4	n4_vocab_image_42	954	遠慮（する）	えんりょ（する）	ngần ngại, khách khí	VIỄN LỰ			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0955	N4	n4_vocab_image_42	955	競争（する）	きょうそう（する）	cạnh tranh, ganh đua	CẠNH TRANH			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0956	N4	n4_vocab_image_42	956	けが（する）	けが（する）	bị thương				Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0957	N4	n4_vocab_image_42	957	研究（する）	けんきゅう（する）	nghiên cứu	NGHIÊN CỨU			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0958	N4	n4_vocab_image_42	958	合格（する）	ごうかく（する）	đỗ, đạt	HỢP CÁCH			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0959	N4	n4_vocab_image_42	959	故障（する）	こしょう（する）	hỏng hóc (máy móc)	CỐ CHƯỚNG			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0960	N4	n4_vocab_image_42	960	ごちそう（する）	ごちそう（する）	chiêu đãi món ăn ngon				Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0961	N4	n4_vocab_image_42	961	支度（する）	したく（する）	chuẩn bị	CHI ĐỘ			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0962	N4	n4_vocab_image_42	962	失敗（する）	しっぱい（する）	thất bại, lỗi	THẤT BẠI			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0963	N4	n4_vocab_image_42	963	出席（する）	しゅっせき（する）	tham gia, tham dự	XUẤT TỊCH			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0964	N4	n4_vocab_image_42	964	出発（する）	しゅっぱつ（する）	xuất phát	XUẤT PHÁT			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0965	N4	n4_vocab_image_42	965	紹介（する）	しょうかい（する）	giới thiệu	THIỆU GIỚI			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0966	N4	n4_vocab_image_42	966	招待（する）	しょうたい（する）	mời	CHIÊU ĐÃI			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
N4-VOCAB-0967	N4	n4_vocab_image_42	967	承知（する）	しょうち（する）	chấp nhận; đồng ý; hiểu rõ	THỪA TRI			Động từ nhóm 3;source_image:42.jpg	manual_reviewed
