item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0566	N4	n4_vocab_image_36	566	政治	せいじ	chính trị	CHÍNH TRỊ			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0567	N4	n4_vocab_image_36	567	西洋	せいよう	phương Tây, các nước phương Tây	TÂY DƯƠNG			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0568	N4	n4_vocab_image_36	568	世界	せかい	thế giới	THẾ GIỚI			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0569	N4	n4_vocab_image_36	569	席	せき	chỗ ngồi	TỊCH			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0570	N4	n4_vocab_image_36	570	背中	せなか	lưng (bộ phận cơ thể)	BỐI TRUNG			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0571	N4	n4_vocab_image_36	571	線	せん	đường, đường dây	TUYẾN			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0572	N4	n4_vocab_image_36	572	戦争	せんそう	chiến tranh	CHIẾN TRANH			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0573	N4	n4_vocab_image_36	573	先輩	せんぱい	tiền bối, đàn anh	TIÊN BỐI			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0574	N4	n4_vocab_image_36	574	専門	せんもん	chuyên môn	CHUYÊN MÔN			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0575	N4	n4_vocab_image_36	575	祖父	そふ	ông mình	TỔ PHỤ			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0576	N4	n4_vocab_image_36	576	祖母	そぼ	bà mình	TỔ MẪU			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0577	N4	n4_vocab_image_36	577	空	そら	bầu trời	KHÔNG			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0578	N4	n4_vocab_image_36	578	大学生	だいがくせい	sinh viên	ĐẠI HỌC SINH			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0579	N4	n4_vocab_image_36	579	台風	たいふう	bão, cơn bão	ĐÀI PHONG			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0580	N4	n4_vocab_image_36	580	畳	たたみ	chiếu tatami	ĐIỆP			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0581	N4	n4_vocab_image_36	581	建物	たてもの	tòa nhà	KIẾN VẬT			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0582	N4	n4_vocab_image_36	582	棚	たな	giá (sách); kệ để đồ	BẰNG			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0583	N4	n4_vocab_image_36	583	楽しみ	たのしみ	niềm vui; sự mong chờ, mong đợi	LẠC			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0584	N4	n4_vocab_image_36	584	男性	だんせい	nam giới	NAM TÍNH			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0585	N4	n4_vocab_image_36	585	暖房	だんぼう	sự sưởi nóng, hệ thống sưởi	NOÃN PHÒNG			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0586	N4	n4_vocab_image_36	586	血	ち	máu, giọt máu	HUYẾT			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0587	N4	n4_vocab_image_36	587	力	ちから	sức mạnh, sức lực	LỰC			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0588	N4	n4_vocab_image_36	588	中学校	ちゅうがっこう	trường trung học cơ sở, trường cấp 2	TRUNG HỌC HIỆU			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0589	N4	n4_vocab_image_36	589	駐車場	ちゅうしゃじょう	bãi để xe, bãi gửi xe	TRÚ XA TRƯỜNG			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0590	N4	n4_vocab_image_36	590	貯金	ちょきん	tiền tiết kiệm, tiền gửi ngân hàng	TRỮ KIM			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0591	N4	n4_vocab_image_36	591	地理	ちり	địa lý	ĐỊA LÝ			Danh từ;source_image:36.jpg	manual_reviewed
N4-VOCAB-0592	N4	n4_vocab_image_36	592	月	つき	mặt trăng	NGUYỆT			Danh từ;source_image:36.jpg	manual_reviewed
