item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0385	N4	n4_vocab_image_33	385	間	あいだ	ở giữa	GIAN			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0386	N4	n4_vocab_image_33	386	赤ちゃん	あかちゃん	em bé, trẻ sơ sinh	XÍCH			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0387	N4	n4_vocab_image_33	387	赤ん坊	あかんぼう	em bé, trẻ sơ sinh	XÍCH PHƯỜNG			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0388	N4	n4_vocab_image_33	388	秋	あき	mùa thu	THU			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0389	N4	n4_vocab_image_33	389	味	あじ	mùi vị, hương vị	VỊ			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0390	N4	n4_vocab_image_33	390	遊び	あそび	việc vui chơi	DU			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0391	N4	n4_vocab_image_33	391	以下	いか	ít hơn, dưới	DĨ HẠ			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0392	N4	n4_vocab_image_33	392	以外	いがい	ngoài, ngoài ra	DĨ NGOẠI			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0393	N4	n4_vocab_image_33	393	医学	いがく	y khoa, y học	Y HỌC			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0394	N4	n4_vocab_image_33	394	意見	いけん	ý kiến	Ý KIẾN			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0395	N4	n4_vocab_image_33	395	石	いし	đá, hòn đá	THẠCH			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0396	N4	n4_vocab_image_33	396	医者	いしゃ	bác sĩ	Y GIẢ			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0397	N4	n4_vocab_image_33	397	以上	いじょう	trên~, từ~ trở lên	DĨ THƯỢNG			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0398	N4	n4_vocab_image_33	398	一度	いちど	một lần	NHẤT ĐỘ			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0399	N4	n4_vocab_image_33	399	糸	いと	sợi chỉ	MỊCH			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0400	N4	n4_vocab_image_33	400	以内	いない	trong phạm vi, trong vòng...	DĨ NỘI			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0401	N4	n4_vocab_image_33	401	田舎	いなか	quê, nông thôn	ĐIỀN XÁ			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0402	N4	n4_vocab_image_33	402	意味	いみ	ý nghĩa	Ý VỊ			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0403	N4	n4_vocab_image_33	403	受付	うけつけ	lễ tân	THỤ PHÓ			Danh từ;source_image:33.jpg	manual_reviewed
N4-VOCAB-0404	N4	n4_vocab_image_33	404	うそ	うそ	lời nói dối				Danh từ;source_image:33.jpg	manual_reviewed
