item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0980	N4	n4_vocab_image_43	980	注射（する）	ちゅうしゃ（する）	tiêm	CHÚ XẠ			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0981	N4	n4_vocab_image_43	981	入院（する）	にゅういん（する）	nhập viện	NHẬP VIỆN			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0982	N4	n4_vocab_image_43	982	寝坊（する）	ねぼう（する）	ngủ quên, thức dậy muộn	TẨM PHƯỜNG			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0983	N4	n4_vocab_image_43	983	拝見（する）	はいけん（する）	nhìn, xem (khiêm nhường ngữ)	BÁI KIẾN			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0984	N4	n4_vocab_image_43	984	発音（する）	はつおん（する）	phát âm	PHÁT ÂM			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0985	N4	n4_vocab_image_43	985	反対（する）	はんたい（する）	phản đối	PHẢN ĐỐI			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0986	N4	n4_vocab_image_43	986	復習（する）	ふくしゅう（する）	ôn tập	PHỤC TẬP			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0987	N4	n4_vocab_image_43	987	返事（する）	へんじ（する）	trả lời, phản hồi	PHẢN SỰ			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0988	N4	n4_vocab_image_43	988	放送（する）	ほうそう（する）	phát thanh, phát sóng	PHÓNG TỐNG			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0989	N4	n4_vocab_image_43	989	翻訳（する）	ほんやく（する）	biên dịch	PHIÊN DỊCH			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
N4-VOCAB-0990	N4	n4_vocab_image_43	990	約束（する）	やくそく（する）	hứa hẹn	ƯỚC THÚC			Động từ nhóm 3;source_image:43.jpg	manual_reviewed
