item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0277	N4	n4_vocab_image_31	277	歳	さい	tuổi	TUẾ			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0278	N4	n4_vocab_image_31	278	冊	さつ	quyển sách	SÁCH			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0279	N4	n4_vocab_image_31	279	本	ほん	vật thon dài	BẢN			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0280	N4	n4_vocab_image_31	280	枚	まい	vật mỏng, dẹt (giấy, tiền, quần áo...)	MAI			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0281	N4	n4_vocab_image_31	281	台	だい	xe cộ, máy móc	ĐÀI			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0282	N4	n4_vocab_image_31	282	杯	はい	chén, bát, ly, cốc	BÔI			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0283	N4	n4_vocab_image_31	283	匹	ひき	động vật bé (chó, mèo, lợn...)	THẤT			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0284	N4	n4_vocab_image_31	284	羽	わ	chim, thỏ	VŨ			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0285	N4	n4_vocab_image_31	285	頭	とう	động vật lớn (ngựa, voi...)	ĐẦU			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0286	N4	n4_vocab_image_31	286	足	そく	giày, dép, tất	TÚC			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
N4-VOCAB-0287	N4	n4_vocab_image_31	287	件	けん	căn nhà	KIỆN			Đơn vị đếm trong tiếng Nhật;source_image:31.jpg	manual_reviewed
