item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0504	N4	n4_vocab_image_35	504	交通	こうつう	giao thông	GIAO THÔNG			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0505	N4	n4_vocab_image_35	505	行動	こうどう	hành động	HÀNH ĐỘNG			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0506	N4	n4_vocab_image_35	506	公務員	こうむいん	công chức, viên chức nhà nước	CÔNG VỤ VIÊN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0507	N4	n4_vocab_image_35	507	国際	こくさい	quốc tế	QUỐC TẾ			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0508	N4	n4_vocab_image_35	508	心	こころ	trái tim, tấm lòng	TÂM			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0509	N4	n4_vocab_image_35	509	ご主人	ごしゅじん	chồng (dùng khi gọi chồng người khác một cách lịch sự)	CHỦ NHÂN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0510	N4	n4_vocab_image_35	510	ご存じ	ごぞんじ	biết, hiểu (kính ngữ)	TỒN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0511	N4	n4_vocab_image_35	511	答え	こたえ	câu trả lời, lời hỏi đáp	ĐÁP			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0512	N4	n4_vocab_image_35	512	小鳥	ことり	chim non, chim nhỏ	TIỂU ĐIỂU			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0513	N4	n4_vocab_image_35	513	この間	このあいだ	mấy hôm trước, dạo gần đây	GIAN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0514	N4	n4_vocab_image_35	514	ごみ	ごみ	rác, rác rưởi				Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0515	N4	n4_vocab_image_35	515	米	こめ	gạo	MỄ			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0516	N4	n4_vocab_image_35	516	最後	さいご	cuối cùng, sau cùng	TỐI HẬU			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0517	N4	n4_vocab_image_35	517	最初	さいしょ	ban đầu, đầu tiên	TỐI SƠ			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0518	N4	n4_vocab_image_35	518	財布	さいふ	chiếc ví	TÀI BỐ			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0519	N4	n4_vocab_image_35	519	坂	さか	con dốc	PHẢN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0520	N4	n4_vocab_image_35	520	さっき	さっき	lúc nãy				Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0521	N4	n4_vocab_image_35	521	産業	さんぎょう	ngành công nghiệp	SẢN NGHIỆP			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0522	N4	n4_vocab_image_35	522	参考	さんこう	tham khảo	THAM KHẢO			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0523	N4	n4_vocab_image_35	523	賛成	さんせい	tán thành	TÁN THÀNH			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0524	N4	n4_vocab_image_35	524	市	し	thành phố	THỊ			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0525	N4	n4_vocab_image_35	525	字	じ	chữ, chữ cái	TỰ			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0526	N4	n4_vocab_image_35	526	試合	しあい	cuộc thi, thi đấu	THÍ HỢP			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0527	N4	n4_vocab_image_35	527	仕方	しかた	cách làm	SĨ PHƯƠNG			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0528	N4	n4_vocab_image_35	528	試験	しけん	kỳ thi, bài thi	THÍ NGHIỆM			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0529	N4	n4_vocab_image_35	529	事故	じこ	tai nạn	SỰ CỐ			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0530	N4	n4_vocab_image_35	530	地震	じしん	động đất	ĐỊA CHẤN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0531	N4	n4_vocab_image_35	531	時代	じだい	thời đại	THỜI ĐẠI			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0532	N4	n4_vocab_image_35	532	下着	したぎ	quần áo lót, đồ mặc lót bên trong	HẠ TRƯỚC			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0533	N4	n4_vocab_image_35	533	質問	しつもん	câu hỏi	CHẤT VẤN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0534	N4	n4_vocab_image_35	534	辞典	じてん	từ điển	TỪ ĐIỂN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0535	N4	n4_vocab_image_35	535	品物	しなもの	sản phẩm, hàng hoá	PHẨM VẬT			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0536	N4	n4_vocab_image_35	536	自分	じぶん	bản thân	TỰ PHÂN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0537	N4	n4_vocab_image_35	537	島	しま	hòn đảo	ĐẢO			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0538	N4	n4_vocab_image_35	538	市民	しみん	người dân thành phố	THỊ DÂN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0539	N4	n4_vocab_image_35	539	事務所	じむしょ	văn phòng	SỰ VỤ SỞ			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0540	N4	n4_vocab_image_35	540	社員	しゃいん	nhân viên, nhân viên công ty	XÃ VIÊN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0541	N4	n4_vocab_image_35	541	社会	しゃかい	xã hội	XÃ HỘI			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0542	N4	n4_vocab_image_35	542	写真	しゃしん	bức ảnh	TẢ CHÂN			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0543	N4	n4_vocab_image_35	543	社長	しゃちょう	giám đốc	XÃ TRƯỞNG			Danh từ;source_image:35.jpg	manual_reviewed
N4-VOCAB-0544	N4	n4_vocab_image_35	544	習慣	しゅうかん	tập quán, thói quen	TẬP QUÁN			Danh từ;source_image:35.jpg	manual_reviewed
