item_id	level	deck_id	source_position	word	reading	meaning	hanviet	example_jp	example_vi	tags	status
N4-VOCAB-0630	N4	n4_vocab_image_37	630	日	ひ	mặt trời, ngày	NHẬT			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0631	N4	n4_vocab_image_37	631	火	ひ	ngọn lửa	HỎA			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0632	N4	n4_vocab_image_37	632	光	ひかり	ánh sáng	QUANG			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0633	N4	n4_vocab_image_37	633	ひげ	ひげ	râu, bộ râu				Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0634	N4	n4_vocab_image_37	634	飛行場	ひこうじょう	sân bay, phi trường	PHI HÀNH TRƯỜNG			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0635	N4	n4_vocab_image_37	635	美術館	びじゅつかん	bảo tàng mỹ thuật	MỸ THUẬT QUÁN			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0636	N4	n4_vocab_image_37	636	病院	びょういん	bệnh viện	BỆNH VIỆN			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0637	N4	n4_vocab_image_37	637	ビル	ビル	tòa nhà				Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0638	N4	n4_vocab_image_37	638	昼	ひる	buổi trưa	TRÚ			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0639	N4	n4_vocab_image_37	639	昼間	ひるま	ban ngày	TRÚ GIAN			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0640	N4	n4_vocab_image_37	640	昼休み	ひるやすみ	giờ nghỉ trưa	TRÚ HƯU			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0641	N4	n4_vocab_image_37	641	服	ふく	quần áo	PHỤC			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0642	N4	n4_vocab_image_37	642	袋	ふくろ	túi đựng, túi bóng	ĐẠI			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0643	N4	n4_vocab_image_37	643	部長	ぶちょう	trưởng ban, trưởng bộ phận	BỘ TRƯỞNG			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0644	N4	n4_vocab_image_37	644	普通	ふつう	phổ thông, thông thường	PHỔ THÔNG			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0645	N4	n4_vocab_image_37	645	ぶどう	ぶどう	quả nho				Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0646	N4	n4_vocab_image_37	646	布団	ふとん	chăn nệm	BỐ ĐOÀN			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0647	N4	n4_vocab_image_37	647	舟	ふね	chiếc thuyền, con tàu	CHU			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0648	N4	n4_vocab_image_37	648	冬	ふゆ	mùa đông	ĐÔNG			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0649	N4	n4_vocab_image_37	649	振り込み	ふりこみ	chuyển khoản	CHẤN NHẬP			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0650	N4	n4_vocab_image_37	650	文化	ぶんか	văn hoá	VĂN HÓA			Danh từ;source_image:37.jpg	manual_reviewed
N4-VOCAB-0651	N4	n4_vocab_image_37	651	文学	ぶんがく	văn học	VĂN HỌC			Danh từ;source_image:37.jpg	manual_reviewed
